wanted,2,0.0418323%
watch,2,0.0418323%
watched,2,0.0418323%
whatever,2,0.0418323%
whisper,2,0.0418323%
whispered,2,0.0418323%
whispering,2,0.0418323%
wide,2,0.0418323%
woman,2,0.0418323%
wondered,2,0.0418323%
word,2,0.0418323%
written,2,0.0418323%
young,2,0.0418323%
Although,1,0.0209161%
Black,1,0.0209161%
Bonfire,1,0.0209161%
Borrowed,1,0.0209161%
Boy,1,0.0209161%
Bristol,1,0.0209161%
Britain,1,0.0209161%
Can,1,0.0209161%
Chapter,1,0.0209161%
Come,1,0.0209161%
Couldn,1,0.0209161%
Dedalus,1,0.0209161%
Diggle,1,0.0209161%
Don,1,0.0209161%
Door,1,0.0209161%
Dundee,1,0.0209161%
Er,1,0.0209161%
Everyone,1,0.0209161%
Exactly,1,0.0209161%
Experts,1,0.0209161%
Fancy,1,0.0209161%
Fear,1,0.0209161%
Flocks,1,0.0209161%
Funny,1,0.0209161%
G,1,0.0209161%
Godric,1,0.0209161%
Going,1,0.0209161%
Good,1,0.0209161%
Harold,1,0.0209161%
Harvey,1,0.0209161%
Her,1,0.0209161%
Hollow,1,0.0209161%
Howard,1,0.0209161%
Inside,1,0.0209161%
Is,1,0.0209161%
Little,1,0.0209161%
Lived,1,0.0209161%
London,1,0.0209161%
Madam,1,0.0209161%
McGuffin,1,0.0209161%
Mysterious,1,0.0209161%
Nasty,1,0.0209161%
Next,1,0.0209161%
Night,1,0.0209161%
None,1,0.0209161%
Nothing,1,0.0209161%
One,1,0.0209161%
Only,1,0.0209161%
Or,1,0.0209161%
Perhaps,1,0.0209161%
Pomfrey,1,0.0209161%
Really,1,0.0209161%
Rejoice,1,0.0209161%
S,1,0.0209161%
Scars,1,0.0209161%
Shhh,1,0.0209161%
Shoo,1,0.0209161%
So,1,0.0209161%
Sorry,1,0.0209161%
Ted,1,0.0209161%
That,1,0.0209161%
Their,1,0.0209161%
Then,1,0.0209161%
These,1,0.0209161%
To,1,0.0209161%
Trying,1,0.0209161%
Tuesday,1,0.0209161%
Twelve,1,0.0209161%
Under,1,0.0209161%
Underground,1,0.0209161%
Viewers,1,0.0209161%
While,1,0.0209161%
Why,1,0.0209161%
Wiping,1,0.0209161%
Won,1,0.0209161%
Would,1,0.0209161%
Yeah,1,0.0209161%
Yorkshire,1,0.0209161%
Young,1,0.0209161%
above,1,0.0209161%
act,1,0.0209161%
acting,1,0.0209161%
admiring,1,0.0209161%
affect,1,0.0209161%
afternoon,1,0.0209161%
age,1,0.0209161%
agree,1,0.0209161%
although,1,0.0209161%
amount,1,0.0209161%
amuse,1,0.0209161%
angry,1,0.0209161%
answer,1,0.0209161%
anxious,1,0.0209161%
anywhere,1,0.0209161%
apart,1,0.0209161%
approve,1,0.0209161%
arm,1,0.0209161%
armchair,1,0.0209161%
ask,1,0.0209161%
astonishing,1,0.0209161%
astounding,1,0.0209161%
astride,1,0.0209161%
awake,1,0.0209161%
backed,1,0.0209161%
bag,1,0.0209161%
baker,1,0.0209161%
bakery,1,0.0209161%
balls,1,0.0209161%
bathroom,1,0.0209161%
beady,1,0.0209161%
bedroom,1,0.0209161%
beefy,1,0.0209161%
behaving,1,0.0209161%
behavior,1,0.0209161%
behind,1,0.0209161%
belt,1,0.0209161%
beneath,1,0.0209161%
beside,1,0.0209161%
best,1,0.0209161%
bet,1,0.0209161%
bike,1,0.0209161%
bird,1,0.0209161%
birds,1,0.0209161%
blew,1,0.0209161%
blonde,1,0.0209161%
blue,1,0.0209161%
blushed,1,0.0209161%
bolt,1,0.0209161%
books,1,0.0209161%
boring,1,0.0209161%
bottles,1,0.0209161%
bound,1,0.0209161%
bowed,1,0.0209161%
breeze,1,0.0209161%
brick,1,0.0209161%
briefcase,1,0.0209161%
bright,1,0.0209161%
bring,1,0.0209161%
bringing,1,0.0209161%
broke,1,0.0209161%
buckled,1,0.0209161%
building,1,0.0209161%
bunch,1,0.0209161%
burying,1,0.0209161%
bushy,1,0.0209161%
business,1,0.0209161%
busy,1,0.0209161%
buy,1,0.0209161%
calls,1,0.0209161%
calmly,1,0.0209161%
care,1,0.0209161%
careful,1,0.0209161%
carefully,1,0.0209161%
carrying,1,0.0209161%
casually,1,0.0209161%
catch,1,0.0209161%
cats,1,0.0209161%
caught,1,0.0209161%
celebrate,1,0.0209161%
celebrations,1,0.0209161%
cereal,1,0.0209161%
certainly,1,0.0209161%
chair,1,0.0209161%
cheek,1,0.0209161%
choosing,1,0.0209161%
chortled,1,0.0209161%
chuckled,1,0.0209161%
cigarette,1,0.0209161%
cle,1,0.0209161%
cleared,1,0.0209161%
climbing,1,0.0209161%
clock,1,0.0209161%
close,1,0.0209161%
closed,1,0.0209161%
cloudy,1,0.0209161%
clutching,1,0.0209161%
cold,1,0.0209161%
coldly,1,0.0209161%
comforting,1,0.0209161%
common,1,0.0209161%
complete,1,0.0209161%
completely,1,0.0209161%
confusing,1,0.0209161%
contrary,1,0.0209161%
couple,1,0.0209161%
course,1,0.0209161%
cousin,1,0.0209161%
craning,1,0.0209161%
crept,1,0.0209161%
cried,1,0.0209161%
crooked,1,0.0209161%
crowd,1,0.0209161%
cups,1,0.0209161%
curiously,1,0.0209161%
cut,1,0.0209161%
dabbed,1,0.0209161%
dare,1,0.0209161%
dared,1,0.0209161%
darkness,1,0.0209161%
dashed,1,0.0209161%
daughter,1,0.0209161%
decided,1,0.0209161%
destroyed,1,0.0209161%
determined,1,0.0209161%
dialing,1,0.0209161%
dinner,1,0.0209161%
direction,1,0.0209161%
director,1,0.0209161%
discover,1,0.0209161%
discuss,1,0.0209161%
distance,1,0.0209161%
distinctly,1,0.0209161%
disturb,1,0.0209161%
does,1,0.0209161%
dog,1,0.0209161%
dolphins,1,0.0209161%
done,1,0.0209161%
doorstep,1,0.0209161%
doughnut,1,0.0209161%
downpour,1,0.0209161%
downright,1,0.0209161%
dozen,1,0.0209161%
drawn,1,0.0209161%
drifting,1,0.0209161%
drive,1,0.0209161%
driven,1,0.0209161%
driveway,1,0.0209161%
drummed,1,0.0209161%
dull,1,0.0209161%
early,1,0.0209161%
earmuffs,1,0.0209161%
eight,1,0.0209161%
else,1,0.0209161%
engine,1,0.0209161%
enraged,1,0.0209161%
eve,1,0.0209161%
evening,1,0.0209161%
everyone,1,0.0209161%
exactly,1,0.0209161%
examined,1,0.0209161%
exasperated,1,0.0209161%
except,1,0.0209161%
expected,1,0.0209161%
faintly,1,0.0209161%
faltered,1,0.0209161%
family,1,0.0209161%
fashion,1,0.0209161%
fast,1,0.0209161%
fear,1,0.0209161%
feasts,1,0.0209161%
fences,1,0.0209161%
fine,1,0.0209161%
finer,1,0.0209161%
fingers,1,0.0209161%
finished,1,0.0209161%
firm,1,0.0209161%
firmly,1,0.0209161%
flatter,1,0.0209161%
flicked,1,0.0209161%
flickered,1,0.0209161%
flinched,1,0.0209161%
flooded,1,0.0209161%
floor,1,0.0209161%
flutter,1,0.0209161%
flyin,1,0.0209161%
folks,1,0.0209161%
fond,1,0.0209161%
forehead,1,0.0209161%
forever,1,0.0209161%
forgotten,1,0.0209161%
forward,1,0.0209161%
free,1,0.0209161%
frozen,1,0.0209161%
full,1,0.0209161%
furiously,1,0.0209161%
future,1,0.0209161%
gasped,1,0.0209161%
gazed,1,0.0209161%
gets,1,0.0209161%
getting,1,0.0209161%
getups,1,0.0209161%
giant,1,0.0209161%
gingerly,1,0.0209161%
give,1,0.0209161%
glance,1,0.0209161%
glowed,1,0.0209161%
glumly,1,0.0209161%
go,1,0.0209161%
golden,1,0.0209161%
gossiped,1,0.0209161%
gray,1,0.0209161%
greatest,1,0.0209161%
green,1,0.0209161%
grew,1,0.0209161%
grin,1,0.0209161%
grip,1,0.0209161%
group,1,0.0209161%
growing,1,0.0209161%
grudgingly,1,0.0209161%
grunted,1,0.0209161%
guess,1,0.0209161%
hand,1,0.0209161%
handy,1,0.0209161%
happen,1,0.0209161%
happily,1,0.0209161%
hard,1,0.0209161%
having,1,0.0209161%
headlight,1,0.0209161%
heads,1,0.0209161%
heaven,1,0.0209161%
heavily,1,0.0209161%
hedges,1,0.0209161%
heel,1,0.0209161%
heeled,1,0.0209161%
held,1,0.0209161%
help,1,0.0209161%
hid,1,0.0209161%
hiding,1,0.0209161%
hissed,1,0.0209161%
hold,1,0.0209161%
hoped,1,0.0209161%
horribly,1,0.0209161%
hours,1,0.0209161%
howl,1,0.0209161%
huddle,1,0.0209161%
hummed,1,0.0209161%
hundreds,1,0.0209161%
hunt,1,0.0209161%
husband,1,0.0209161%
hushed,1,0.0209161%
imagination,1,0.0209161%
impatiently,1,0.0209161%
improve,1,0.0209161%
inky,1,0.0209161%
irritably,1,0.0209161%
jacket,1,0.0209161%
jam,1,0.0209161%
jet,1,0.0209161%
join,1,0.0209161%
judging,1,0.0209161%
jumping,1,0.0209161%
keep,1,0.0209161%
keeping,1,0.0209161%
kicked,1,0.0209161%
kicking,1,0.0209161%
killed,1,0.0209161%
knee,1,0.0209161%
knocked,1,0.0209161%
lace,1,0.0209161%
laid,1,0.0209161%
lamps,1,0.0209161%
landed,1,0.0209161%
late,1,0.0209161%
lately,1,0.0209161%
later,1,0.0209161%
learned,1,0.0209161%
leather,1,0.0209161%
legend,1,0.0209161%
legs,1,0.0209161%
lent,1,0.0209161%
less,1,0.0209161%
lids,1,0.0209161%
lighter,1,0.0209161%
lightning,1,0.0209161%
